Stock,Entry_time,Entry_Price,qty,value
jswsteel_15min,2017-08-01 12:00:00,225.19999900000002,222,-49994.399778000006
coalindia_15min,2017-08-01 12:15:00,253.9,196,-49764.4
bpcl_15min,2017-08-01 12:30:00,484.8,103,-49934.4
grasim_15min,2017-08-01 12:45:00,1087.09999,45,-48919.49955
hindunilvr_15min,2017-08-01 13:00:00,1173.4,42,-49282.8
hdfc_15min,2017-08-01 13:15:00,1778.2999899999998,28,-49792.399719999994
heromotoco_15min,2017-08-01 13:30:00,3715.15,-13,48296.950000000004
titan_15min,2017-08-01 13:45:00,546.2999990000002,91,-49713.299909000016
bpcl_15min,2017-08-01 14:00:00,484.75,-103,49929.25
coalindia_15min,2017-08-01 14:15:00,253.59999900000003,-196,49705.599804000005
asianpaint_15min,2017-08-01 14:30:00,1154.0,43,-49622.0
bajfinance_15min,2017-08-01 14:45:00,1719.5,-29,49865.5
bajajfinsv_15min,2017-08-01 15:00:00,5049.94999,-9,45449.54991
heromotoco_15min,2017-08-01 15:15:00,3737.9,13,-48592.700000000004
bajajfinsv_15min,2017-08-01 15:30:00,5084.0,9,-45756.0
bajaj_auto_15min,2017-08-02 09:30:00,2799.25,17,-47587.25
bajaj_auto_15min,2017-08-02 09:45:00,2819.55,-17,47932.350000000006
adaniports_15min,2017-08-02 10:00:00,406.5,123,-49999.5
asianpaint_15min,2017-08-02 10:15:00,1150.2,-43,49458.6
eichermot_15min,2017-08-02 10:30:00,31490.0,-1,31490.0
bhartiartl_15min,2017-08-02 10:45:00,418.899999,-119,49849.099880999995
adaniports_15min,2017-08-02 11:00:00,405.149999,-123,49833.449877
infy_15min,2017-08-02 11:15:00,503.725,-99,49868.775
eichermot_15min,2017-08-02 11:30:00,31550.8499,1,-31550.8499
adaniports_15min,2017-08-02 11:45:00,406.649999,123,-50017.949877
hcltech_15min,2017-08-02 12:15:00,446.6999995,111,-49583.6999445
coalindia_15min,2017-08-02 12:30:00,252.699999,-198,50034.599802
britannia_15min,2017-08-02 12:45:00,1935.95,25,-48398.75
cipla_15min,2017-08-02 13:00:00,564.1,-88,49640.8
bpcl_15min,2017-08-02 13:15:00,488.5,-102,49827.0
axisbank_15min,2017-08-02 13:30:00,521.6,-95,49552.0
britannia_15min,2017-08-02 13:45:00,1937.849995,25,-48446.249875
hcltech_15min,2017-08-02 14:00:00,444.3,-112,49761.6
adaniports_15min,2017-08-02 14:15:00,406.35,-123,49981.05
ultracemco_15min,2017-08-02 14:30:00,4092.94999,-12,49115.39988
grasim_15min,2017-08-02 14:45:00,1097.54999,-45,49389.74955
hdfc_15min,2017-08-02 15:00:00,1772.0,-28,49616.0
adaniports_15min,2017-08-02 15:15:00,409.3,122,-49934.6
asianpaint_15min,2017-08-02 15:30:00,1150.25,43,-49460.75
icicibank_15min,2017-08-03 09:30:00,302.69999900000005,-166,50248.19983400001
asianpaint_15min,2017-08-03 09:45:00,1138.9,-43,48972.700000000004
drreddy_15min,2017-08-03 10:00:00,2401.0,20,-48020.0
adaniports_15min,2017-08-03 10:15:00,408.3,-122,49812.6
nestleind_15min,2017-08-03 10:30:00,6723.199990000001,-7,47062.39993000001
cipla_15min,2017-08-03 10:45:00,570.2999990000002,-88,50186.399912000015
bajaj_auto_15min,2017-08-03 11:00:00,2824.0,17,-48008.0
bajajfinsv_15min,2017-08-03 11:15:00,5077.85,9,-45700.65
gail_15min,2017-08-03 11:30:00,139.38749962500003,360,-50179.49986500001
coalindia_15min,2017-08-03 11:45:00,247.25,-202,49944.5
bpcl_15min,2017-08-03 12:00:00,491.3,-101,49621.3
hdfc_15min,2017-08-03 12:15:00,1752.5,28,-49070.0
infratel_15min,2017-08-03 12:30:00,403.399999,-123,49618.199877
bpcl_15min,2017-08-03 12:45:00,493.0,101,-49793.0
axisbank_15min,2017-08-03 13:00:00,511.6,95,-48602.0
asianpaint_15min,2017-08-03 13:15:00,1148.95,43,-49404.85
cipla_15min,2017-08-03 13:45:00,565.2,-88,49737.600000000006
hindalco_15min,2017-08-03 14:00:00,223.59999900000003,-224,50086.399776000006
mm_15min,2017-08-03 14:15:00,706.799995,-70,49475.99965
ntpc_15min,2017-08-03 14:30:00,143.8333325,-351,50485.49970750001
heromotoco_15min,2017-08-03 14:45:00,3836.8,-13,49878.4
bpcl_15min,2017-08-03 15:00:00,489.3,-101,49419.3
bajajfinsv_15min,2017-08-03 15:15:00,5135.0,-9,46215.0
lt_15min,2017-08-03 15:30:00,1168.84999,-42,49091.69958
adaniports_15min,2017-08-04 09:30:00,408.6,122,-49849.200000000004
coalindia_15min,2017-08-04 09:45:00,244.449999,202,-49378.899798
hindalco_15min,2017-08-04 10:00:00,224.25,224,-50232.0
axisbank_15min,2017-08-04 10:15:00,510.6,98,-50038.8
bajaj_auto_15min,2017-08-04 10:30:00,2834.0,-17,48178.0
britannia_15min,2017-08-04 10:45:00,1938.375,25,-48459.375
asianpaint_15min,2017-08-04 11:00:00,1153.95,-43,49619.85
asianpaint_15min,2017-08-04 11:15:00,1152.34999,-43,49551.049569999996
bajaj_auto_15min,2017-08-04 11:30:00,2846.15,17,-48384.55
adaniports_15min,2017-08-04 11:45:00,407.5,-122,49715.0
bajaj_auto_15min,2017-08-04 12:00:00,2856.15,17,-48554.55
coalindia_15min,2017-08-04 12:15:00,242.949999,206,-50047.699794
coalindia_15min,2017-08-04 12:30:00,243.34999900000003,205,-49886.749795
axisbank_15min,2017-08-04 12:45:00,509.6,98,-49940.8
axisbank_15min,2017-08-04 13:00:00,510.0,97,-49470.0
bajajfinsv_15min,2017-08-04 13:15:00,5262.1,9,-47358.9
hcltech_15min,2017-08-04 13:30:00,443.75,112,-49700.0
asianpaint_15min,2017-08-04 13:45:00,1152.84999,43,-49572.549569999996
asianpaint_15min,2017-08-04 14:00:00,1157.0,43,-49751.0
axisbank_15min,2017-08-04 14:15:00,510.5,97,-49518.5
gail_15min,2017-08-04 14:30:00,140.56875000000002,355,-49901.90625000001
kotakbank_15min,2017-08-04 14:45:00,1002.2,49,-49107.8
drreddy_15min,2017-08-04 15:00:00,2264.0,-22,49808.0
mm_15min,2017-08-04 15:15:00,708.85,70,-49619.5
adaniports_15min,2017-08-04 15:30:00,408.649999,122,-49855.299878
axisbank_15min,2017-08-07 09:30:00,510.899999,-97,49557.299903
asianpaint_15min,2017-08-07 09:45:00,1152.5,-43,49557.5
bajfinance_15min,2017-08-07 10:00:00,1763.75,28,-49385.0
bhartiartl_15min,2017-08-07 10:15:00,420.69999900000005,-119,50063.299881000006
bajaj_auto_15min,2017-08-07 10:45:00,2898.05,-17,49266.850000000006
bajaj_auto_15min,2017-08-07 11:00:00,2893.94999,-17,49197.14983
drreddy_15min,2017-08-07 11:15:00,2263.19999,22,-49790.39978
bpcl_15min,2017-08-07 11:30:00,524.6,95,-49837.0
asianpaint_15min,2017-08-07 11:45:00,1154.2,43,-49630.6
hcltech_15min,2017-08-07 12:00:00,444.675,113,-50248.275
bhartiartl_15min,2017-08-07 12:15:00,420.6,-119,50051.4
cipla_15min,2017-08-07 12:30:00,563.85,-89,50182.65
bajajfinsv_15min,2017-08-07 12:45:00,5440.5,-9,48964.5
adaniports_15min,2017-08-07 13:00:00,417.6,-122,50947.200000000004
cipla_15min,2017-08-07 13:15:00,566.0,89,-50374.0
bajfinance_15min,2017-08-07 13:30:00,1786.4,-28,50019.200000000004
adaniports_15min,2017-08-07 13:45:00,416.19999900000005,-120,49943.99988
lt_15min,2017-08-07 14:00:00,1172.0,-42,49224.0
gail_15min,2017-08-07 14:15:00,143.10000000000002,352,-50371.20000000001
asianpaint_15min,2017-08-07 14:30:00,1154.9,43,-49660.700000000004
adaniports_15min,2017-08-07 14:45:00,417.1,120,-50052.0
bajfinance_15min,2017-08-07 15:00:00,1798.0,27,-48546.0
axisbank_15min,2017-08-07 15:15:00,509.19999900000005,-98,49901.599902
infy_15min,2017-08-07 15:30:00,487.4499995,-103,50207.3499485
asianpaint_15min,2017-08-08 09:30:00,1152.95,-43,49576.85
bpcl_15min,2017-08-08 09:45:00,526.25,-95,49993.75
bpcl_15min,2017-08-08 10:00:00,523.1,-96,50217.600000000006
asianpaint_15min,2017-08-08 10:15:00,1147.0,-44,50468.0
coalindia_15min,2017-08-08 10:30:00,247.4,-204,50469.6
bajfinance_15min,2017-08-08 10:45:00,1799.95,-27,48598.65
tcs_15min,2017-08-08 11:00:00,1253.0,-40,50120.0
bajaj_auto_15min,2017-08-08 11:30:00,2931.0,17,-49827.0
bajajfinsv_15min,2017-08-08 11:45:00,5413.6,9,-48722.4
bhartiartl_15min,2017-08-08 12:00:00,419.1,121,-50711.100000000006
grasim_15min,2017-08-08 12:15:00,1116.25,-45,50231.25
asianpaint_15min,2017-08-08 12:30:00,1146.45,44,-50443.8
bpcl_15min,2017-08-08 12:45:00,513.35,-98,50308.3
adaniports_15min,2017-08-08 13:00:00,416.8,121,-50432.8
bajajfinsv_15min,2017-08-08 13:15:00,5355.1,-9,48195.9
tatasteel_15min,2017-08-08 13:30:00,623.899999,-80,49911.99992
