run_name,end,growth,return,sharpe,SQN,Trades,open_trades,average_pnl,won_trades,loss_trades,long_trades,short_trades,max_DD
5_0.3,2800999.526,300999.5256,12.03998103,0.351855149,1.614024556,44585,41,6.090793246,15092,29493,20612,23973,304628.8955
5_0.4,2762510.257,262510.2575,10.5004103,0.280013542,1.444099527,42215,38,5.51836674,14441,27774,19245,22970,309858.1403
9_0.4,2768607.612,268607.6116,10.74430447,0.422623046,1.176240365,27561,46,7.51510227,9661,17900,12487,15074,435641.744
5_0.5,2702153.114,202153.1135,8.086124541,0.228499632,1.116865187,39067,31,4.44455763,13425,25642,17530,21537,310245.2756
9_0.5,2747089.28,247089.2796,9.883571183,0.40049044,1.085919017,26434,42,7.049004354,9385,17049,11713,14721,437636.4321
9_0.3,2713526.4,213526.3995,8.541055981,0.328546654,0.856934527,28311,46,5.377286685,9775,18536,13067,15244,433185.1154
9_0.6,2668981.02,168981.0201,6.759240805,0.209148287,0.714564347,24759,40,4.708863822,8861,15898,10624,14135,397736.5111
5_0.6,2556892.874,56892.87362,2.275714945,-0.090842809,0.211793004,34675,31,0.866738942,11939,22736,15360,19315,285913.0133
3_0.5,2188351.35,-311648.6504,-12.46594602,-2.070870176,-2.572278366,50319,20,-6.406430936,16935,33384,23573,26746,421014.5691
3_0.3,2166235.098,-333764.9018,-13.35059607,-1.636996755,-2.611168342,61647,28,-5.670526346,20323,41324,29043,32604,452103.7034
3_0.4,2131209.931,-368790.0691,-14.75160276,-1.592790812,-2.976131934,56641,25,-6.768977286,18867,37774,26590,30051,466339.8918
3_0.6,2148097.77,-351902.23,-14.0760892,-2.447362744,-3.108069621,42725,19,-8.415746737,14445,28280,19976,22749,436734.4975
