Stock,Entry_time,Entry_Price,qty,value
bpcl_15min,2017-08-02 14:00:00,486.19999900000005,102,-49592.399898
bpcl_15min,2017-08-02 14:30:00,486.5,-102,49623.0
hdfcbank_15min,2017-08-07 13:15:00,895.225,55,-49237.375
hdfcbank_15min,2017-08-07 13:30:00,895.575,-55,49256.625
gail_15min,2017-08-07 13:45:00,142.72500000000002,350,-49953.75000000001
gail_15min,2017-08-09 13:00:00,143.30624962500002,-350,50157.187368750005
vedl_15min,2017-08-10 12:15:00,303.6499990000001,-164,49798.599836000016
vedl_15min,2017-08-10 12:30:00,302.3999990000001,164,-49593.599836000016
upl_15min,2017-08-11 12:30:00,549.6999993333335,-90,49472.999940000016
upl_15min,2017-08-11 13:45:00,550.0,90,-49500.0
bajfinance_15min,2017-08-11 15:15:00,1670.0,29,-48430.0
bajajfinsv_15min,2017-08-14 10:15:00,5133.05,-9,46197.450000000004
bajajfinsv_15min,2017-08-14 10:30:00,5134.35,9,-46209.15
bajfinance_15min,2017-08-16 10:00:00,1694.0,-29,49126.0
lt_15min,2017-08-16 10:30:00,1127.59999,44,-49614.39956
lt_15min,2017-08-16 10:45:00,1128.4,-44,49649.600000000006
adaniports_15min,2017-08-16 12:00:00,395.0,126,-49770.0
adaniports_15min,2017-08-16 12:15:00,395.649999,-126,49851.899873999995
asianpaint_15min,2017-08-16 15:15:00,1142.65,-43,49133.950000000004
bajajfinsv_15min,2017-08-18 12:15:00,5340.0,-9,48060.0
ntpc_15min,2017-08-18 13:15:00,145.54166666666669,343,-49920.79166666667
ntpc_15min,2017-08-18 13:30:00,145.37499916666667,-343,49863.62471416667
asianpaint_15min,2017-08-18 14:15:00,1136.4,43,-48865.200000000004
britannia_15min,2017-08-18 15:00:00,2134.5,-23,49093.5
britannia_15min,2017-08-18 15:15:00,2128.675,23,-48959.525
axisbank_15min,2017-08-22 09:30:00,498.05,101,-50303.05
ongc_15min,2017-08-22 12:00:00,159.849999,-313,50033.049687
bajajfinsv_15min,2017-08-22 12:30:00,5254.0,9,-47286.0
ongc_15min,2017-08-22 12:45:00,159.8,313,-50017.4
axisbank_15min,2017-08-22 14:30:00,497.8,-101,50277.8
eichermot_15min,2017-08-28 14:00:00,31577.4,1,-31577.4
eichermot_15min,2017-08-28 15:15:00,31347.7999,-1,31347.7999
bajfinance_15min,2017-08-30 10:15:00,1798.84999,-27,48568.94973
ntpc_15min,2017-08-30 10:45:00,140.33333333333334,-356,49958.66666666667
bajfinance_15min,2017-08-30 11:00:00,1805.29999,27,-48743.09973
ntpc_15min,2017-08-30 11:15:00,140.75,356,-50107.0
bajfinance_15min,2017-08-30 14:15:00,1793.7999899999998,27,-48432.599729999994
bajfinance_15min,2017-08-30 14:30:00,1788.5,-27,48289.5
indusindbk_15min,2017-08-30 15:15:00,1652.59999,-30,49577.9997
jswsteel_15min,2017-08-31 11:00:00,254.84999900000003,196,-49950.599804000005
ultracemco_15min,2017-08-31 11:15:00,3992.0,12,-47904.0
jswsteel_15min,2017-08-31 11:30:00,254.84999900000003,-196,49950.599804000005
ultracemco_15min,2017-08-31 12:00:00,3997.0,-12,47964.0
bpcl_15min,2017-08-31 14:00:00,524.149999,95,-49794.249905
bpcl_15min,2017-08-31 14:30:00,526.95,-95,50060.25000000001
coalindia_15min,2017-09-01 10:15:00,240.09999900000003,-208,49940.799792000005
coalindia_15min,2017-09-01 10:30:00,239.75,208,-49868.0
infratel_15min,2017-09-04 10:15:00,379.75,131,-49747.25
infratel_15min,2017-09-04 10:30:00,381.0,-131,49911.0
asianpaint_15min,2017-09-04 11:00:00,1203.5,41,-49343.5
asianpaint_15min,2017-09-04 11:30:00,1204.9,-41,49400.9
hcltech_15min,2017-09-04 12:30:00,431.0,116,-49996.0
