Stock,Entry_time,Entry_Price,qty,value
reliance_15min,2017-12-18 11:00:00,925.7999990000001,-54,49993.199946
reliance_15min,2017-12-18 11:15:00,927.6,54,-50090.4
infratel_15min,2018-04-25 10:30:00,326.69999900000005,153,-49985.099847000005
infratel_15min,2018-04-25 11:00:00,325.94999900000005,-153,49870.349847000005
kotakbank_15min,2018-06-01 10:15:00,1319.0,37,-48803.0
kotakbank_15min,2018-06-01 11:00:00,1313.75,-37,48608.75
hdfc_15min,2018-06-15 10:15:00,1835.0,27,-49545.0
hdfc_15min,2018-06-15 12:30:00,1836.29999,-27,49580.09973
powergrid_15min,2018-07-12 10:30:00,183.55,272,-49925.600000000006
powergrid_15min,2018-07-12 11:15:00,183.55,-272,49925.600000000006
bajaj_auto_15min,2019-05-20 10:15:00,2990.69999,16,-47851.19984
bajaj_auto_15min,2019-05-20 15:15:00,3012.65,-16,48202.4
bajaj_auto_15min,2020-01-07 10:45:00,3055.05,16,-48880.8
bajaj_auto_15min,2020-01-07 11:15:00,3052.84999,-16,48845.59984
axisbank_15min,2020-02-26 11:15:00,726.2999990000002,-68,49388.399932000015
axisbank_15min,2020-02-26 12:45:00,730.149999,68,-49650.199931999996
