run_name,end,growth,return,sharpe,SQN,Trades,open_trades,average_pnl,won_trades,loss_trades,long_trades,short_trades,max_DD
9_9_9_15_15,2516409.385,16409.38483,1.006563754,-0.904412329,0.209704719,2087,3,2.391524326,764,1323,1718,369,37699.58784
9_9_3_15_15,2516409.385,16409.38483,1.006563754,-0.904412329,0.209704719,2087,3,2.391524326,764,1323,1718,369,37699.58784
9_9_5_15_15,2516409.385,16409.38483,1.006563754,-0.904412329,0.209704719,2087,3,2.391524326,764,1323,1718,369,37699.58784
9_9_9_15_10,2506255.117,6255.117491,1.002502047,-1.459829528,-0.244388812,1799,3,-2.85885673,663,1136,1718,81,31710.90232
9_9_5_15_10,2506255.117,6255.117491,1.002502047,-1.459829528,-0.244388812,1799,3,-2.85885673,663,1136,1718,81,31710.90232
9_9_3_15_10,2506255.117,6255.117491,1.002502047,-1.459829528,-0.244388812,1799,3,-2.85885673,663,1136,1718,81,31710.90232
9_9_9_10_15,2514724.452,14724.45185,1.005889781,-1.237173392,0.642294695,826,2,11.20397939,313,513,457,369,22703.77452
9_9_5_10_15,2514724.452,14724.45185,1.005889781,-1.237173392,0.642294695,826,2,11.20397939,313,513,457,369,22703.77452
9_9_3_10_15,2514724.452,14724.45185,1.005889781,-1.237173392,0.642294695,826,2,11.20397939,313,513,457,369,22703.77452
9_9_5_10_10,2504842.686,4842.685557,1.001937074,-2.540491222,-0.065770714,538,2,-1.128636635,212,326,457,81,15654.39573
9_9_3_10_10,2504842.686,4842.685557,1.001937074,-2.540491222,-0.065770714,538,2,-1.128636635,212,326,457,81,15654.39573
9_9_9_10_10,2504842.686,4842.685557,1.001937074,-2.540491222,-0.065770714,538,2,-1.128636635,212,326,457,81,15654.39573
9_3_9_15_15,2494313.053,-5686.947073,0.997725221,-5.156810754,-0.654394039,452,0,-12.58174131,119,333,280,172,12117.50999
9_3_5_15_15,2494313.053,-5686.947073,0.997725221,-5.156810754,-0.654394039,452,0,-12.58174131,119,333,280,172,12117.50999
9_3_3_15_15,2494313.053,-5686.947073,0.997725221,-5.156810754,-0.654394039,452,0,-12.58174131,119,333,280,172,12117.50999
9_3_3_15_10,2496912.613,-3087.387423,0.998765045,-6.29703324,-0.412589868,292,0,-10.5732446,72,220,280,12,10615.40827
9_3_5_15_10,2496912.613,-3087.387423,0.998765045,-6.29703324,-0.412589868,292,0,-10.5732446,72,220,280,12,10615.40827
9_3_9_15_10,2496912.613,-3087.387423,0.998765045,-6.29703324,-0.412589868,292,0,-10.5732446,72,220,280,12,10615.40827
9_3_5_10_15,2500416.302,416.3024101,1.000166521,-11.88873192,0.076585151,187,0,2.226216097,56,131,15,172,5165.207508
9_3_9_10_15,2500416.302,416.3024101,1.000166521,-11.88873192,0.076585151,187,0,2.226216097,56,131,15,172,5165.207508
9_3_3_10_15,2500416.302,416.3024101,1.000166521,-11.88873192,0.076585151,187,0,2.226216097,56,131,15,172,5165.207508
9_3_3_10_10,2503076.497,3076.496723,1.001230599,-44.45913481,0.99058426,27,0,113.9443231,9,18,15,12,1631.899624
9_3_5_10_10,2503076.497,3076.496723,1.001230599,-44.45913481,0.99058426,27,0,113.9443231,9,18,15,12,1631.899624
9_3_9_10_10,2503076.497,3076.496723,1.001230599,-44.45913481,0.99058426,27,0,113.9443231,9,18,15,12,1631.899624
9_5_5_15_15,2500195.278,195.2780522,1.000078111,-73.22970218,0.275738715,13,0,15.02138863,5,8,6,7,800.1088849
9_5_3_15_15,2500195.278,195.2780522,1.000078111,-73.22970218,0.275738715,13,0,15.02138863,5,8,6,7,800.1088849
9_5_9_15_15,2500195.278,195.2780522,1.000078111,-73.22970218,0.275738715,13,0,15.02138863,5,8,6,7,800.1088849
9_5_5_15_10,2499678.45,-321.5502129,0.99987138,-92.20822786,-0.628352118,8,0,-40.19377661,2,6,6,2,605.893048
9_5_3_10_15,2500242.905,242.9045371,1.000097162,-150.6456699,0.444653073,8,0,30.36306714,4,4,1,7,647.476513
9_5_9_15_10,2499678.45,-321.5502129,0.99987138,-92.20822786,-0.628352118,8,0,-40.19377661,2,6,6,2,605.893048
9_5_5_10_15,2500242.905,242.9045371,1.000097162,-150.6456699,0.444653073,8,0,30.36306714,4,4,1,7,647.476513
9_5_9_10_15,2500242.905,242.9045371,1.000097162,-150.6456699,0.444653073,8,0,30.36306714,4,4,1,7,647.476513
9_5_3_15_10,2499678.45,-321.5502129,0.99987138,-92.20822786,-0.628352118,8,0,-40.19377661,2,6,6,2,605.893048
9_5_3_10_10,2499726.076,-273.923728,0.999890431,-209.3469854,-1.211741962,3,0,-91.30790932,1,2,1,2,566.765188
9_5_9_10_10,2499726.076,-273.923728,0.999890431,-209.3469854,-1.211741962,3,0,-91.30790932,1,2,1,2,566.765188
9_5_5_10_10,2499726.076,-273.923728,0.999890431,-209.3469854,-1.211741962,3,0,-91.30790932,1,2,1,2,566.765188
