date,open,high,low,close,volume
2017-08-01 09:30:00,1190.29999,1191.29999,1176.09999,1177.04999,594000.0
2017-08-01 09:45:00,1177.0,1178.04999,1174.15,1178.04999,321750.0
2017-08-01 10:00:00,1177.65,1178.0,1169.0,1170.45,364500.0
2017-08-01 10:15:00,1171.09999,1172.4,1168.0,1170.9,282000.0
2017-08-01 10:30:00,1170.95,1171.04999,1166.54999,1169.25,254250.0
2017-08-01 10:45:00,1169.4,1170.9,1165.34999,1169.0,285750.0
2017-08-01 11:00:00,1169.04999,1169.79999,1167.15,1169.7,122250.0
2017-08-01 11:15:00,1169.79999,1172.54999,1169.65,1169.79999,110250.0
2017-08-01 11:30:00,1170.09999,1170.4,1168.65,1169.0,41250.0
2017-08-01 11:45:00,1169.34999,1169.34999,1165.5,1166.5,150750.0
2017-08-01 12:00:00,1166.54999,1168.4,1166.25,1168.0,62250.0
2017-08-01 12:15:00,1167.59999,1169.5,1167.15,1169.04999,42000.0
2017-08-01 12:30:00,1169.0,1169.65,1166.79999,1169.59999,63000.0
2017-08-01 12:45:00,1169.79999,1172.9,1169.79999,1171.2,101250.0
2017-08-01 13:00:00,1170.54999,1173.9,1168.34999,1173.0,114000.0
2017-08-01 13:15:00,1173.2,1173.5,1170.0,1171.15,75000.0
2017-08-01 13:30:00,1171.0,1172.95,1171.0,1172.0,39000.0
2017-08-01 13:45:00,1172.2,1177.0,1172.04999,1176.04999,185250.0
2017-08-01 14:00:00,1176.79999,1177.84999,1174.0,1174.75,147000.0
2017-08-01 14:15:00,1174.5,1177.0,1173.29999,1176.7,109500.0
2017-08-01 14:30:00,1176.34999,1176.5,1173.5,1175.59999,71250.0
2017-08-01 14:45:00,1175.25,1177.5,1174.84999,1176.0,65250.0
2017-08-01 15:00:00,1175.9,1176.7,1174.0,1175.34999,75000.0
2017-08-01 15:15:00,1175.0,1179.9,1175.0,1178.15,285750.0
2017-08-01 15:30:00,1178.25,1181.5,1178.0,1179.0,413250.0
2017-08-02 09:30:00,1179.09999,1181.15,1170.79999,1171.79999,372750.0
2017-08-02 09:45:00,1171.9,1174.9,1171.79999,1173.79999,144750.0
2017-08-02 10:00:00,1173.7,1173.84999,1168.9,1169.34999,186750.0
2017-08-02 10:15:00,1169.4,1170.5,1166.65,1168.29999,171000.0
2017-08-02 10:30:00,1168.29999,1168.9,1165.5,1168.9,176250.0
2017-08-02 10:45:00,1168.5,1170.84999,1167.7,1169.29999,75000.0
2017-08-02 11:00:00,1170.04999,1175.54999,1169.25,1171.7,431250.0
2017-08-02 11:15:00,1172.15,1172.84999,1170.5,1171.04999,84750.0
2017-08-02 11:30:00,1171.04999,1173.79999,1170.25,1173.4,66750.0
2017-08-02 11:45:00,1173.25,1178.0,1172.0,1173.4,552750.0
2017-08-02 12:00:00,1173.59999,1174.25,1172.54999,1174.0,34500.0
2017-08-02 12:15:00,1173.04999,1174.25,1171.75,1172.65,45750.0
